track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
6mFsYlDjG2Esy5hXhNy78t,31,195640,0.482,0.772,-5.128,0.0,0.586,129.91,acoustic
4SkXeoVShiJY17DfB1hp4p,17,375112,0.438,0.737,-6.648,0.00358,0.402,113.957,afrobeat
64BbK9SFKH2jk86U3dGj2P,80,255373,0.458,0.795,-3.265,0.000202,0.513,123.229,alt-rock
5yttdWLpQ3yL09P0tSqM5E,16,745386,0.825,0.837,-6.752,0.00014,0.495,123.02,afrobeat
6zeOuFLzYvFOfwedcmz7Nu,17,204661,0.855,0.662,-7.488,0.00172,0.487,113.003,afrobeat
4fvsRG68AC7biwypJu6nUX,17,232546,0.833,0.675,-9.076,0.822,0.442,110.865,afrobeat
5TX5HJiEjHBkkGw1SHVZ3U,21,202568,0.875,0.722,-5.276,7.37e-05,0.552,117.997,afrobeat
5CWqahxkgdxav7Exsx6qZ9,17,200124,0.766,0.696,-7.859,4.73e-05,0.521,107.977,afrobeat
7rUxkhbAsfGNg3YOqwwX4R,18,175856,0.787,0.726,-5.637,0.00313,0.407,107.024,afrobeat
5pqmDb9iQXoyvzuUi8riHi,20,259660,0.615,0.704,-7.582,0.0,0.489,100.019,afrobeat
5MYPzdIWgx3pMLRGlq2fVq,73,241132,0.676,0.768,-5.695,0.00147,0.493,105.999,acoustic
6DBqULxLjq66GX2dim7opR,49,227346,0.681,0.838,-6.538,0.49,0.456,112.608,afrobeat
2rrptPZG55VZPKE2LzLFsO,35,315600,0.562,0.876,-4.999,0.00513,0.547,124.003,afrobeat
2RsAajgo0g7bMCHxwH3Sk0,79,218920,0.5,0.824,-5.846,0.00161,0.539,120.125,alt-rock
4hNUUHv2V4DkFTLtbhYGZX,0,195717,0.516,0.85,-3.91,0.0,0.583,120.326,alt-rock
07m8PuXxxv5J4qPEDq6ZkK,65,243933,0.555,0.934,-5.04,0.0,0.422,144.874,acoustic
0RHZvKdk4rHKyl2Ijltoub,35,256760,0.505,0.835,-4.301,0.000352,0.484,144.171,acoustic
3jcMkuNGMExEorJSML33D9,0,224306,0.548,0.809,-4.001,2.96e-06,0.409,133.984,alt-rock
4zESVuAPxaC9bqQKjiWgH6,30,241250,0.458,0.823,-4.268,0.0,0.422,131.638,acoustic
2N7NctlF0wAl57q68v5MOi,27,209200,0.512,0.884,-4.09,0.0,0.48,124.003,acoustic
3MhErr2oHiTPfbxG8Ya9s1,16,128985,0.58,0.984,-5.592,0.751,0.5,136.671,afrobeat
0P9Kg7MUJ8ygcKSOPh1LfJ,0,217213,0.452,0.819,-4.394,0.69,0.423,124.649,alt-rock
35Ocr7h38aa1erSPuyUUR9,24,319077,0.43,0.829,-9.146,0.0,0.445,141.277,afrobeat
